elapsed_time,num_reqs,num_reqs_per_sec,min_req_time,max_req_time,avg_req_time,200,302,502,504
0,363,6.05,35.642,1478.558,258.5163,319,44,,
60,713,11.8833,35.765,6675.726,593.9687,584,129,,
120,919,15.3167,35.25,10285.061,1655.0151,745,174,,
180,858,14.3,35.2,11407.75,3394.3218,699,159,,
240,874,14.5667,974.214,17402.49,5156.8599,717,157,,
300,1042,17.3667,22.68,22290.272,7174.5054,822,149,71,
360,1069,17.8167,22.367,25902.408,8931.9036,828,134,107,
420,970,16.1667,23.0,28477.686,8823.7151,728,145,97,
480,977,16.2833,23.26,34305.383,9433.4726,723,123,131,
540,872,14.5333,22.907,33043.68,9797.5125,661,130,81,
600,1011,16.85,22.067,33472.948,8889.3287,720,121,170,
660,1188,19.8,23.107,33477.207,7621.9226,871,97,220,
720,1032,17.2,22.281,29374.784,8981.3013,766,90,176,
780,1060,17.6667,23.112,25529.989,8535.4866,764,98,198,
840,1049,17.4833,22.756,28631.43,8975.6379,779,95,175,
900,541,9.0167,23.527,29967.89,14757.1828,436,95,10,
960,515,8.5833,1965.214,31206.032,12293.2495,335,180,,
1020,606,10.1,1816.885,12206.07,4807.8959,466,140,,
1080,596,9.9333,1400.672,20790.328,4933.3815,463,133,,
1140,272,4.5333,2969.548,51555.617,12886.961,223,49,,
1200,355,5.9167,960.013,58540.598,12087.5553,276,79,,
1260,384,6.4,220.212,60291.713,9860.5768,293,89,,2
1320,506,8.4333,835.001,53360.45,6538.297,363,143,,
1380,356,5.9333,3667.107,21621.305,9349.353,228,128,,
1440,219,3.65,2788.227,52217.119,11414.0185,99,120,,
1500,312,5.2,72.829,60056.661,8651.8778,94,216,,2
1560,102,1.7,70.512,34391.945,2564.641,13,89,,
