#date;pid;id;http method;host;URL;HTTP status;size;duration;transaction;match;error;tag
1399541611.326435;<0.1696.0>;790;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;160.344;-;match_stop;;
1399541611.722212;<0.1295.0>;589;get;staging-lpa.service.dsd.io;/user/login;502;10079;28.017;-;match_stop;;
1399541611.741936;<0.1352.0>;621;post;staging-lpa.service.dsd.io;/user/login;502;10079;29.799;-;match_stop;;
1399541611.757641;<0.1742.0>;815;get;staging-lpa.service.dsd.io;/;502;10079;157.502;-;match_stop;;
1399541611.933815;<0.431.0>;165;post;staging-lpa.service.dsd.io;/create/certificate-provider;502;10079;33.600;-;match_stop;;
1399541611.965922;<0.1372.0>;631;post;staging-lpa.service.dsd.io;/user/login;502;10079;42.749;-;match_stop;;
1399541612.120494;<0.1802.0>;843;get;staging-lpa.service.dsd.io;/;502;10079;216.382;-;match_stop;;
1399541612.175385;<0.1706.0>;797;get;staging-lpa.service.dsd.io;/user/register;502;10079;24.261;-;match_stop;;
1399541612.250301;<0.1554.0>;722;get;staging-lpa.service.dsd.io;/user/register;502;10079;27.147;-;match_stop;;
1399541612.252102;<0.1195.0>;541;post;staging-lpa.service.dsd.io;/create/lpa-type;502;10079;26.961;-;match_stop;;
1399541612.255398;<0.639.0>;270;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;26.305;-;match_stop;;
1399541612.309227;<0.1293.0>;587;get;staging-lpa.service.dsd.io;/user/login;502;10079;27.091;-;match_stop;;
1399541612.329854;<0.1491.0>;690;get;staging-lpa.service.dsd.io;/activate/9b01915e781c5e159df4049aae335ad6;502;10079;25.657;-;match_stop;;
1399541612.400548;<0.1483.0>;686;get;staging-lpa.service.dsd.io;/activate/dac303d716ccf80c20aa609c387b318c;502;10079;26.403;-;match_stop;;
1399541613.504814;<0.1574.0>;736;post;staging-lpa.service.dsd.io;/user/register;502;10079;23.495;-;match_stop;;
1399541613.515355;<0.993.0>;441;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;24.277;-;match_stop;;
1399541613.526583;<0.524.0>;211;get;staging-lpa.service.dsd.io;/create/replacement-attorneys;502;10079;25.464;-;match_stop;;
1399541613.556371;<0.1798.0>;842;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;155.272;-;match_stop;;
1399541613.674244;<0.486.0>;194;post;staging-lpa.service.dsd.io;/create/add-replacement-attorney;502;10079;25.069;-;match_stop;;
1399541613.685483;<0.435.0>;168;post;staging-lpa.service.dsd.io;/create/add-replacement-attorney;502;10079;26.395;-;match_stop;;
1399541613.696398;<0.1813.0>;850;get;staging-lpa.service.dsd.io;/;502;10079;162.306;-;match_stop;;
1399541613.723707;<0.429.0>;164;get;staging-lpa.service.dsd.io;/create/certificate-provider;502;10079;24.593;-;match_stop;;
1399541613.745814;<0.1702.0>;795;get;staging-lpa.service.dsd.io;/user/register;502;10079;24.723;-;match_stop;;
1399541614.145974;<0.1203.0>;543;post;staging-lpa.service.dsd.io;/user/about-you;502;10079;24.828;-;match_stop;;
1399541614.152378;<0.1760.0>;824;get;staging-lpa.service.dsd.io;/;502;10079;162.296;-;match_stop;;
1399541614.286958;<0.1597.0>;746;post;staging-lpa.service.dsd.io;/user/register;502;10079;22.680;-;match_stop;;
1399541614.383515;<0.361.0>;134;get;staging-lpa.service.dsd.io;/create/people-to-be-told;502;10079;24.912;-;match_stop;;
1399541614.431928;<0.1072.0>;479;get;staging-lpa.service.dsd.io;/create/add-donor;502;10079;26.795;-;match_stop;;
1399541623.745861;<0.1281.0>;580;get;staging-lpa.service.dsd.io;/user/about-you;502;10079;22.767;-;match_stop;;
1399541623.753227;<0.492.0>;197;get;staging-lpa.service.dsd.io;/create/replacement-attorneys;502;10079;25.148;-;match_stop;;
1399541623.753926;<0.1074.0>;480;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;24.836;-;match_stop;;
1399541623.914659;<0.960.0>;425;post;staging-lpa.service.dsd.io;/create/when-to-use;502;10079;23.509;-;match_stop;;
1399541624.050392;<0.684.0>;293;get;staging-lpa.service.dsd.io;/address/lookup?addressid=23911113;502;10079;26.286;-;match_stop;;
1399541624.116861;<0.849.0>;371;get;staging-lpa.service.dsd.io;/create/attorneys;502;10079;23.722;-;match_stop;;
1399541626.887634;<0.1509.0>;696;get;staging-lpa.service.dsd.io;/user/login;502;10079;26.472;-;match_stop;;
1399541626.890585;<0.1927.0>;907;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;156.501;-;match_stop;;
1399541626.89113;<0.1919.0>;904;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;154.056;-;match_stop;;
1399541627.320179;<0.1758.0>;822;get;staging-lpa.service.dsd.io;/user/register;502;10079;26.061;-;match_stop;;
1399541627.510859;<0.753.0>;325;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;23.682;-;match_stop;;
1399541627.562292;<0.1351.0>;620;get;staging-lpa.service.dsd.io;/user/about-you;502;10079;25.127;-;match_stop;;
1399541627.891334;<0.1586.0>;740;get;staging-lpa.service.dsd.io;/activate/1ba3cd145e094ae425064fb9fd735e40;502;10079;25.124;-;match_stop;;
1399541627.916526;<0.1257.0>;572;post;staging-lpa.service.dsd.io;/user/about-you;502;10079;24.828;-;match_stop;;
1399541627.997233;<0.1938.0>;911;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;164.098;-;match_stop;;
1399541628.038189;<0.383.0>;145;get;staging-lpa.service.dsd.io;/address/lookup?addressid=23911113;502;10079;25.107;-;match_stop;;
1399541628.065836;<0.973.0>;433;post;staging-lpa.service.dsd.io;/create/add-donor;502;10079;23.675;-;match_stop;;
1399541628.178364;<0.493.0>;198;get;staging-lpa.service.dsd.io;/create/certificate-provider;502;10079;25.179;-;match_stop;;
1399541628.190246;<0.1933.0>;908;get;staging-lpa.service.dsd.io;/;502;10079;154.173;-;match_stop;;
1399541628.210495;<0.1611.0>;751;get;staging-lpa.service.dsd.io;/activate/4b1ab11a2e463e99f9aa45acbcec9b9b;502;10079;24.366;-;match_stop;;
1399541628.369186;<0.1935.0>;910;get;staging-lpa.service.dsd.io;/;502;10079;162.074;-;match_stop;;
1399541628.373252;<0.1015.0>;452;get;staging-lpa.service.dsd.io;/create/when-to-use;502;10079;25.077;-;match_stop;;
1399541628.375646;<0.1701.0>;794;post;staging-lpa.service.dsd.io;/user/register;502;10079;24.378;-;match_stop;;
1399541628.436667;<0.1942.0>;913;get;staging-lpa.service.dsd.io;/;502;10079;153.560;-;match_stop;;
1399541628.482801;<0.678.0>;290;get;staging-lpa.service.dsd.io;/postcode/lookup?postcode=SW10+9LB;502;10079;24.696;-;match_stop;;
1399541628.507542;<0.1855.0>;870;get;staging-lpa.service.dsd.io;/user/register;502;10079;23.349;-;match_stop;;
1399541628.523536;<0.1615.0>;754;get;staging-lpa.service.dsd.io;/activate/ca2d6d4b7764db34d8762f11d5173966;502;10079;26.416;-;match_stop;;
1399541628.538752;<0.1475.0>;682;get;staging-lpa.service.dsd.io;/activate/7a56e5a8249c135f6706306e2819e31d;502;10079;23.628;-;match_stop;;
1399541628.631947;<0.1939.0>;912;get;staging-lpa.service.dsd.io;/;502;10079;161.852;-;match_stop;;
1399541628.634697;<0.333.0>;119;get;staging-lpa.service.dsd.io;/create/add-notified-person;502;10079;25.612;-;match_stop;;
1399541637.613052;<0.2007.0>;944;get;staging-lpa.service.dsd.io;/?autoTestKey=I5iOAmnnQaq5JPI8JHYcdXQPlI09bQnHoeAxb7xYjTe+FLPTVHZho3zK0mu41ouPmxLXJlZYi;502;10079;162.884;-;match_stop;;
1399541637.723295;<0.1028.0>;458;get;staging-lpa.service.dsd.io;/create/add-donor;502;10079;25.154;-;match_stop;;
